intro_location,gender,age,education,occupation,marital_status,occupation_partner,hh_members_total,hh_member_rela_1,hh_educ_1,hh_occ_1,hh_age_1,hh_kids_1,hh_live_1,hh_member_rela_2,hh_educ_2,hh_occ_2,hh_age_2,hh_kids_2,hh_live_2,hh_member_rela_3,hh_educ_3,hh_occ_3,hh_age_3,hh_kids_3,hh_live_3,hh_member_rela_4,hh_educ_4,hh_occ_4,hh_age_4,hh_kids_4,hh_live_4,A15_5,A16_5,A17_5,hh_age_5,hh_kids_5,A20_5,A15_6,A16_6,A17_6,hh_age_6,hh_kids_6,hh_children,child_count,child1_educ,child1_occ,talked_to_yesterday,H2i1,H2i2,H2i3,H2i4,H2i5,H2i6,friends,family,clients,talk_to_most,paid_expenses,fund_I2_1,fund_I2i,paid_for_you,fund_I4_1,fund_I4i,chama,chama_freq,loan,fund_I7i,fund_I8_1,friend_loan,fund_I10_1,med_insurance,med_i_used,med_i_for,med_source_funds,fund_I15,need_source,sofa,chairs,bed,fund_I17_4,cellphone,mattress,own_savings,loan_relatives,gifts,loans_from_friends,gifts_from_friends,fund_I19_6,fund_I19_7,fund_I19_8,church,church_members,church_friends,church_loan,most_food,fav_hobbie,floor,USAIDJ3_1,showers,toilet,rooms,water_source,main_toilet,electricity,refrigerator,USAIDJ11,own_house,jiko_coal,iron,USAIDJ14,radio,radio_cassette,electric_gas_cooker,charcoal_iron,livestock,personal_daily_income,hh_daily_income,passed_away_5,passed_away_10,hh_chronic_illness5,hh_chronic_illness10,main_finance,second_finance,savings_account,interests,shares,collateral,guarantor,investment,inflation,pension,mortgage,nssf,nhif,adr,nairobi_se,deposit_protection_fund,credit_ref,policy_comp,finlitK4_8,crb_report,scam_invest,scam_invest12,scam_lost,FA_bank,FA_ins_comp,other_spec,fin_prov_trust1,fin_prov_trust2,high_interest,low_interest,old_worry,reg_aside_particular,reg_aside_unexpected,paln_allocate_money,live_today,trouble_money_last,finlitK26,loan_for_loan,live_minus_bank,finlitK29,finlitK30_1,mpesa_comfort,mshwari_account,mshwari_comfort,L3,L5,L7,mpesa,mshwari,duration,age40_49,age50_59,age60_69,age70_up,age_sum,educ_sum,relationship,total_educ,total_age_children,very_poor,not_very_poor,not_org_floor,piped_water,flush_toilet,home_elec,time_pref,urban,peri_urban,rural,bank,ag_land,network_comfort,sleeping,small_bus_owner,small_bus_partner,inf_sec_worker,casual_worker,hh_very_poor,pat_index2,pat_index3,random,insample,pat_index2_10,pat_index2_20,pat_index2_35,lpat_index2
Kibera,Female,40,Standard 7,Own a small business,"Monogamous couple (one man, one wife)",Mechanic,5,self/respondent,Standard 7,Own a small business,40,Yes,Yes,oldest/only spouse,Standard 8,Mechanic,43,Yes,Yes,own child,Standard 7,Not working,14,,,own child,Standard 3,Not working,8,,,own child,Pre-school,Not working,3,,,,,,,,No,,,,5,1,4,3,5,4,,1,4,0,own child,Yes,own child,49000,No,,,Yes,4,No,0,,No,,No,,,Assistance from friends,Ask for help from friends and neighbours,Yes,Bicycle,Television,,,"Other non-agricultural machines, tools or appliances for your home or business ",,Gift from relatives,Loan from friends,Gift from friends,,,,,,Yes,200,40,1,Ugali and vegetables,Sleep,Cement,"Organic fuels (Wood, Straw, Shrubs, Plants, Grass, Dung etc.)",1,1,1,Public tap,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,No,,Yes,No,No,Yes,No,500,500,No,Yes,No,No,You ,Spouse,Savings account,Interest,Shares,Guarantor,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Credit Reference Bureau (CRB),,,,,,No,No,,,Radio,Television,,Bank,ASCA/ROSCA/chama,Bank,ASCA/ROSCA/chama,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Other,Watched television,2,No,,1,1,1,0,1,64,1,,,,40-49,Primary,1,0,108,0,0,1,0,0,1,0.80000001,1,0,0,0,0,3.4000001,0,1,0,0,0,0,0.38461539,0.375,0.018206632,1,0,0,1,0.32542241
Kitengela,Female,63,None,Own a hotel,Widow/widower,,5,self/respondent,None,Own a hotel,63,Yes,No,grandchild,Standard 7,Not working,32,Yes,Yes,grandchild,Form 2,Not working,25,No,,grandchild,Form 4,Not working,23,No,,grandchild,Standard 4,Not working,9,,,,,,,,Yes,4,Standard 7,Own a small business,6,5,6,3,4,5,7,5,1,1,grandchild,Yes,grandchild,2,No,,,Yes,1,Yes,3,School expenses,Yes,Business investment,No,,,"Chama, from business",From small businesses,Yes,Cellphone,Chairs,Refridgerator,Television,"Other non-agricultural machines, tools or appliances for your home or business ",,Own savings,Merry-go-round (ROSCA),,,,,,,Yes,30,6,3,Githeri,Reading bible,Cement,Paraffin stove,1,1,2,Public tap,VIP latrine,"National electricity service (i.e., Kenya KPLC)",Yes,1,Yes,Yes,No,,Yes,Yes,Yes,No,No,500,500,Yes,No,No,No,You ,You ,Savings account,Shares,Pension,,,,,,,National Health insurance Fund (NHIF),,,,,,,,No,No,,,Bank,Chama/ROSCA,,Bank,None,Bank,None,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Attended social gathering/meeting,6,No,,1,0,1,1,1,92,,,1,,60-69,None,0,42,152,0,0,1,0,0,1,0.60000002,0,1,0,1,0,5,0,0,0,0,0,0,0.61538464,0.625,0.86245894,1,0,0,0,0.4795731
Kitengela,Male,55,Standard 7,Policeman,"Monogamous couple (one man, one wife)",Farmer,3,self/respondent,Standard 7,Policeman,55,Yes,Yes,oldest/only spouse,Standard 4,Farmer,35,Yes,Yes,own child,Standard 5,Not working,27,No,,,,,,,,,,,,,,,,,,,No,,,,3,6,4,5,,,,3,0,3,neigbour,No,,,No,,,No,,,0,,,,No,,,"Business, being paid from an employment, savings",She can get money from chama or get a loan,Yes,Chairs,Television,Livestock ,,Agricultural land,,Own savings,,,,,,,,No,,,,Ugali,Talking with friends,Earth,Paraffin stove,1,1,1,Public tap,Covered pit latrine,Do not have electricity,No,,No,Yes,No,,Yes,No,No,No,Yes,200,200,No,Yes,No,No,You ,Spouse,Savings account,Interest,Shares,,,,,,,National Health insurance Fund (NHIF),,,,,,,,No,No,,,Friends/Family,Radio,,Bank,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Bank,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Keeping in touch with friends and family,Read newspaper,6,No,,1,0,1,1,1,76,,1,,,50-59,Primary,1,0,117,0,1,0,0,0,0,0.5,0,1,0,0,1,5,0,0,0,0,0,0,0.23076923,0.25,0.49705794,1,0,1,1,0.20763937
Kitengela,Female,45,Form 3,Not working,"Monogamous couple (one man, one wife)",Social worker,6,self/respondent,Form 3,Not working,45,Yes,Yes,oldest/only spouse,Standard 8,Social worker,50,Yes,Yes,own child,Form 1,Not working,18,No,,own child,Standard 8,Not working,15,,,own child,Standard 7,Not working,7,,,own child,Pre-school,Not working,3,,Yes,1,University 4,Not working,5,6,6,5,6,7,,5,3,0,oldest/only spouse,Yes,parent,1,No,,,No,,,0,,,,Yes,Yes,stomachache,"Chama, selling assets, harambee",Through chama support raising money for resources,Yes,Sofa,Chairs,Television,Livestock ,Other agricultural machines or tools,,Gift from friends,Bank loan,Merry-go-round (ROSCA),,,,,,No,,,,Ugali,Reading Bible,Earth,"Organic fuels (Wood, Straw, Shrubs, Plants, Grass, Dung etc.)",1,1,3,Tubewell/borehole with pump,Covered pit latrine,Do not have electricity,No,,Yes,Yes,No,,Yes,No,No,No,Yes,0,100,No,No,No,No,Spouse,Spouse,Savings account,Interest,Shares,,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,No,,,Bank,,,Bank,Insurance agents,Don't know,Don't know,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Listened to radio,7,No,,0,0,1,1,1,120,1,,,,40-49,Secondary,1,23,138,1,,0,0,0,0,0.5,0,1,0,1,0,6,0,0,0,0,0,1,0.30769232,0.25,0.3539049,1,0,0,1,0.268264
Kitengela,Male,40,Form 4,Own a small business,"Monogamous couple (one man, one wife)",Own a small business,4,self/respondent,Form 4,Own a small business,40,Yes,Yes,oldest/only spouse,Form 4,Own a small business,33,Yes,Yes,own child,Standard 7,Not working,12,,,own child,Standard 2,Not working,7,,,,,,,,,,,,,,No,,,,5,5,7,7,7,6,,5,1,0,Client,Yes,cousin,1,Yes,Other unrelated,1,Yes,1,Yes,1,Business investment,Yes,Business investment,No,,,Personal saving,Fund raising,Yes,Cellphone,,,,Bed,Mattress,Loan from friends,Merry-go-round (ROSCA),,,,,,,Yes,500,50,0,Minji,Taking care of children,Cement,"Organic fuels (Wood, Straw, Shrubs, Plants, Grass, Dung etc.)",1,1,4,Piped into dwelling,Flush toilet,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,Yes,1,Yes,Yes,Yes,No,No,.d,.k,No,No,No,No,Jointly with spouse,You ,Savings account,Shares,Collateral,,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Alternative Dispute Resolution (ADR),Credit Reference Bureau (CRB),,,,,No,No,,,SACCO,,,SACCO,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Bank,SACCO,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Watched television,6,Yes,7,1,1,1,1,1,121,1,,,,40-49,Secondary,1,0,92,0,0,1,1,1,1,0.5,0,1,0,0,0,6.4000001,0,1,1,0,0,0,0.69230771,0.75,0.021238431,1,0,0,0,0.52609313
Kitengela,Female,45,Form 4,Clerk,"Monogamous couple (one man, one wife)",Informal sector,5,self/respondent,College 2,Clerk,45,Yes,Yes,oldest/only spouse,University 5+,Informal sector,48,Yes,Yes,own child,University 3,Engineer,23,No,,own child,Form 4,Not working,19,No,,own child,Form 2,Not working,17,No,,,,,,,No,,,,10,6,6,6,3,2,4,3,3,0,own child,Yes,sibling,2,No,,,Yes,1,Yes,1,Business investment,Yes,Asset purchase,Yes,Yes,pregnancy-related,"Fund raising, selling property",Fund raising.,No,"Other non-agricultural machines, tools or appliances for your home or business ",,,,Cellphone,Super Drum,Own savings,Loan from relatives,Loan from friends,Bank loan,Merry-go-round (ROSCA),SACCO,,,Yes,250,50,2,Chicken,Sleeping,Tiles,"Organic fuels (Wood, Straw, Shrubs, Plants, Grass, Dung etc.)",2,2,4,Piped into dwelling,Flush toilet,"National electricity service (i.e., Kenya KPLC)",Yes,1,No,Yes,Yes,1,No,No,Yes,No,Yes,31,400,Yes,Yes,No,No,Spouse,Jointly with spouse,Savings account,Interest,Shares,Guarantor,Investment,Inflation,Pension,Mortgage,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Nairobi Securities Exchange (NSE),,,,,,No,Yes,Yes,Yes,Chama/ROSCA,,,ASCA/ROSCA/chama,Bank,Bank,ASCA/ROSCA/chama,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Watched television,7,No,,1,1,1,1,1,131,1,,,,40-49,Secondary,1,0,152,1,,1,1,1,1,0.5,0,1,0,0,0,4,1,0,0,0,0,0,0.69230771,0.625,0.13576613,1,0,0,0,0.52609313
Kitengela,Female,44,Standard 8,Own a small business,Separated or Divorced,,5,self/respondent,Standard 8,Own a small business,44,Yes,Yes,own child,Form 4,Not working,25,No,,own child,Form 4,Not working,24,No,,own child,Standard 8,Not working,22,No,,own child,Form 2,Not working,20,No,,,,,,,No,,,,0,,,,,,,0,0,0,Client,No,,,Yes,Church Member,1,No,,,0,,,,No,,,"Loans, request from friends",Loans,No,Other agricultural machines or tools,,,,Other agricultural machines or tools,,Bank loan,Merry-go-round (ROSCA),,,,,,,Yes,100,6,6,Beef,House work,Cement,"Organic fuels (Wood, Straw, Shrubs, Plants, Grass, Dung etc.)",0,0,1,Piped into plot/yard,VIP latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,No,,Yes,No,Yes,No,No,100,100,No,No,No,No,You ,You ,Savings account,Shares,Investment,Mortgage,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,Yes,No,No,Self,,,Bank,SACCO,Don't know,Don't know,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Gone to work,7,No,,1,0,1,1,1,122,1,,,,40-49,Primary,0,0,135,1,,1,1,0,1,1,0,1,0,0,0,,0,1,0,0,0,1,0.46153846,0.375,0.99650985,1,0,0,0,0.37948963
Kitengela,Male,50,Standard 7,Mason,"Monogamous couple (one man, one wife)",Own a small business,3,self/respondent,Standard 7,Mason,50,Yes,No,oldest/only spouse,Standard 7,Own a small business,42,Yes,No,brother/sister-in-law,Form 4,Informal sector,25,No,,,,,,,,,,,,,,,,,,,No,,,,7,7,2,3,4,5,7,2,1,3,coworker,Yes,cousin,2,Yes,parent,1,Yes,1,Yes,6000,Business investment,Yes,Business investment,No,,,"Take a loan, selling of assets",Sell his/her asset,Yes,Livestock ,,,,Agricultural land,,Loan from friends,Merry-go-round (ROSCA),,,,,,,Yes,2000,5,5,Ugali   vegetables,visit friends,Cement,Lignite / Coal or Charcoal,0,0,1,Public tap,Covered pit latrine,Do not have electricity,No,,No,Yes,No,,Yes,No,No,Yes,Yes,500,1500,No,No,No,No,You ,Spouse,Savings account,Interest,Shares,Guarantor,Investment,Pension,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,No,,,Friends/Family,,,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Bank,Bank,Mshwari/KCB M-PESA,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Building a house/Improving your house ,Listened to radio,5,Yes,6,1,0,1,1,1,161,,1,,,50-59,Primary,1,0,117,0,0,1,0,0,0,0.89999998,0,1,0,0,1,5,0,0,1,0,0,0,0.38461539,0.375,0.41959709,1,0,0,1,0.32542241
Kitengela,Female,42,Form 4,Informal sector,Separated or Divorced,,4,self/respondent,Form 4,Not working,42,Yes,Yes,own child,Standard 8,Casual worker,33,No,,own child,Standard 8,Casual worker,27,No,,own child,Standard 8,Casual worker,23,No,,,,,,,,,,,,,No,,,,6,2,7,7,7,7,7,1,5,0,Church Member,No,,,No,,,No,,,0,,,,Yes,Yes,Other,NHIF,To get help from friends or go to government hospitals,Yes,Cellphone,Chairs,Table,Bed,Mattress,Kerosene Stove,Loan from relatives,Gift from relatives,Loan from friends,,,,,,Yes,20,5,1,Ugali vegetables,Go to pray,Cement,Paraffin stove,0,0,1,Public tap,Covered pit latrine,Do not have electricity,No,,No,Yes,No,,No,No,No,No,No,65,1265,No,No,No,No,You ,You ,Savings account,Interest,Shares,Investment,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,No,,,Friends/Family,,,Mobile Money Agents - MPESA/Airtel Money/Orange Money/Tanagaza Cash,Microfinance,Bank,Don't know,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Supporting/participitating in your church or mosque or place of worship,Gone to work,6,No,,0,0,0,1,1,69,1,,,,40-49,Secondary,0,0,125,1,,1,0,0,0,0.60000002,0,1,0,0,0,6.1666665,0,0,0,1,0,0,0.15384616,0.125,0.063568458,1,1,1,1,0.14310084
Kitengela,Male,50,Form 3,Informal sector,Polygamous marriage (more than one wife),,3,self/respondent,Form 3,Informal sector,50,Yes,No,cousin,Standard 8,Informal sector,39,Yes,No,cousin,Form 2,Informal sector,51,Yes,No,,,,,,,,,,,,,,,,,,Yes,2,College 2,Teacher,6,5,4,3,4,4,3,2,3,0,cousin,Yes,other spouse,8000,No,,,No,,,0,,,,Yes,Yes,"fever, malaria","NHIF, sell property",To organize for an Harambee,Yes,Cellphone,Sofa,Chairs,Table,Cellphone,Chairs,Bank loan,,,,,,,,Yes,20000,5,0,Ugali vegetables,Listening to radio and talking to friends,Cement,Paraffin stove,0,0,1,Public tap,Covered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,No,No,,No,Yes,No,No,Yes,600,1600,No,No,No,No,You ,You ,Savings account,Interest,Shares,Guarantor,Investment,Inflation,Pension,Mortgage,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Nairobi Securities Exchange (NSE),Deporsit Protection Fund (DPF),Credit Reference Bureau (CRB),Policy Conpensation Fund (PCF),,,No,No,,,Friends/Family,,,Bank,Mshwari/KCB M-PESA,Bank,Mshwari/KCB M-PESA,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Educating yourself or your family,Listened to radio,4,Yes,2,1,1,1,0,0,103,,1,,,50-59,Secondary,0,30,140,0,0,1,0,0,1,1,0,1,0,0,0,3.8333333,0,0,0,1,0,0,0.30769232,0.125,0.2416386,1,0,0,1,0.268264
Kitengela,Male,56,Standard 4,Mechanic,Widow/widower,,4,self/respondent,Standard 4,Mechanic,56,Yes,No,own child,Form 2,Not working,23,Yes,No,own child,Form 4,Not working,21,No,,own child,Standard 8,Not working,16,,,,,,,,,,,,,,No,,,,.d,,,,,,,,0,,coworker,No,,,Yes,Other unrelated,1,No,,,0,,,,No,,,"NHIF, relatived, own savings",Borrow from friends and neighbors,No,Other agricultural machines or tools,,,,Other agricultural machines or tools,,Gift from relatives,Gift from friends,,,,,,,Yes,-98,-98,0,No specific one,Going to church,Cement,Paraffin stove,0,0,1,Piped into plot/yard,Uncovered pit latrine,Do not have electricity,No,,No,No,No,,Yes,No,No,No,No,350,0,No,No,No,No,You ,You ,Savings account,Interest,Shares,Collateral,Investment,Inflation,Pension,Mortgage,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Alternative Dispute Resolution (ADR),Nairobi Securities Exchange (NSE),Deporsit Protection Fund (DPF),Credit Reference Bureau (CRB),Policy Conpensation Fund (PCF),,No,No,,,Don‰Ûªt know,,,Bank,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Bank,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Building a house/Improving your house ,Listened to radio,7,No,,0,0,0,1,1,314,,1,,,50-59,Primary,0,0,116,0,0,1,1,0,0,1,0,1,0,0,0,,0,0,0,0,0,1,0.23076923,0.125,0.38731372,1,0,1,1,0.20763937
Kitengela,Female,45,Form 4,Own a small business,Single,,1,self/respondent,Form 4,Own a small business,45,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Form 2,Not working,10,5,5,5,5,5,5,3,0,5,Other unrelated,No,,,No,,,No,,,0,,,,No,,,"Harambee,NHIF cover",Harambee,Yes,Agricultural land,Livestock ,,,Other agricultural machines or tools,,Own savings,Merry-go-round (ROSCA),,,,,,,Yes,-98,-98,-98,Ugali and skuma,Visitting friends,Cement,Lignite / Coal or Charcoal,0,0,2,Protected dug well,Covered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,No,No,,No,No,Yes,No,Yes,500,500,Yes,Yes,No,No,You ,You ,Shares,Investment,Pension,Mortgage,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Nairobi Securities Exchange (NSE),Deporsit Protection Fund (DPF),Credit Reference Bureau (CRB),Policy Conpensation Fund (PCF),,,No,No,,,Don‰Ûªt know,,,Microfinance,SACCO,Microfinance,Don't know,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Watched television,6,No,,1,0,0,1,1,382,1,,,,40-49,Secondary,0,20,45,0,0,1,0,0,1,1,0,1,0,0,0,5,0,1,0,0,0,0,0.30769232,0.125,0.4545292,1,0,0,1,0.268264
Kitengela,Male,40,Form 4,Carpenter,"Monogamous couple (one man, one wife)",Not working,4,self/respondent,Form 4,Carpenter,40,Yes,Yes,oldest/only spouse,College 4,Not working,32,Yes,Yes,own child,Standard 5,Not working,11,,,Relative,Standard 6,Not working,-98,,,,,,,,,,,,,,No,,,,.d,,,,,,,,-98,,coworker,Yes,son/daughter-in-law,3,Yes,neigbour,1,No,,,0,,,,No,,,"NHIF, savings, fund drive in a chama","Harambee, well wishers, county assistance",Yes,Refridgerator,Electric Iron,Motorbike/motorcycle/scooter,Solar Panel,Computer or Tablet,Agricultural land,Own savings,Loan from friends,Gift from friends,SACCO,,,,,Yes,-98,-98,0,Githeri,Reading novels,Cement,Paraffin stove,0,0,1,Piped into plot/yard,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,No,,No,Yes,Yes,No,No,200,200,No,No,No,No,You ,Spouse,Savings account,Interest,Shares,Investment,Inflation,Pension,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Nairobi Securities Exchange (NSE),Policy Conpensation Fund (PCF),,,,,Yes,Yes,No,Yes,Self,,,Bank,SACCO,SACCO,Mshwari/KCB M-PESA,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Watched television,7,No,,1,1,1,1,1,233,1,,,,40-49,Secondary,1,0,-15,0,1,1,1,0,1,1,0,1,0,0,0,,0,0,0,0,0,0,0.46153846,0.375,0.87978518,1,0,0,0,0.37948963
Kitengela,Female,63,Standard 4,Own a small business,Widow/widower,,4,self/respondent,Standard 4,Own a small business,63,Yes,Yes,grandchild,Form 4,Not working,19,No,,grandchild,Standard 7,Not working,17,Yes,Yes,grandchild,Pre-school,Not working,5,,,,,,,,,,,,,,No,,,,3,1,1,1,,,,3,0,0,Other unrelated,Yes,coworker,100,No,,,Yes,1,Yes,5000,Business investment,Yes,No particular reason,No,,,Dont know,Take a loan,Yes,Chairs,Bed,Cupboard/Dressers,Kerosene Stove,Motorbike/motorcycle/scooter,,Loan from friends,,,,,,,,Yes,10000,5,0,Githeri,Listen to the radio,Cement,"Organic fuels (Wood, Straw, Shrubs, Plants, Grass, Dung etc.)",0,0,1,Public tap,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,No,,Yes,No,No,No,No,400,400,Yes,No,No,No,You ,You ,Savings account,Interest,Shares,Guarantor,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,No,,,Chama/ROSCA,,,None,None,None,None,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Having children or getting married ,Listened to radio,2,Yes,1,0,0,0,0,0,78,,,1,,60-69,Primary,0,0,104,0,0,1,0,0,1,0.60000002,0,1,0,0,0,1,0,1,0,0,0,0,0.30769232,0.25,0.77032954,1,0,0,1,0.268264
Kitengela,Female,53,Standard 2,Own a small business,Widow/widower,,3,self/respondent,Standard 2,Own a small business,53,Yes,Yes,own child,Form 4,Not working,23,Yes,Yes,grandchild,Pre-school,Not working,5,,,,,,,,,,,,,,,,,,,,No,,,,8,2,1,6,1,3,7,5,3,0,Other unrelated,Yes,own child,35000,Yes,grandchild,1500,Yes,4,Yes,30000,School expenses,Yes,No particular reason,No,,,Own payment,Have an insurance cover or seek for fundraising.,No,Agricultural land,Livestock ,,,Agricultural land,Livestock ,Merry-go-round (ROSCA),SACCO,,,,,,,Yes,10000,10,3,Gidheri,Taking tea,Cement,"Organic fuels (Wood, Straw, Shrubs, Plants, Grass, Dung etc.)",0,0,1,Piped into plot/yard,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,Yes,1,No,Yes,No,No,Yes,200,200,No,Yes,No,No,You ,Chidren,Savings account,Interest,Guarantor,,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,Yes,Yes,Yes,Self,,,None,Bank,Bank,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Building a house/Improving your house ,Watched television,6,Yes,4,1,0,1,1,0,89,,1,,,50-59,Primary,0,0,81,0,1,1,1,0,1,0.80000001,0,1,0,0,1,3.375,0,1,0,0,0,0,0.53846157,0.375,0.8780455,1,0,0,0,0.43078294
Kitengela,Male,55,Form 4,Informal sector,"Monogamous couple (one man, one wife)",Own a small business,5,self/respondent,Form 4,Informal sector,55,Yes,Yes,oldest/only spouse,Form 2,Own a small business,54,Yes,Yes,own child,Standard 8,Not working,30,No,,own child,Form 4,Not working,25,No,,own child,College 2,Not working,21,No,,,,,,,No,,,,4,7,6,5,5,,,6,0,1,Other unrelated,Yes,Other unrelated,1,No,,,Yes,4,Yes,70000,School expenses,Yes,School expenses,Yes,No,,Taking a loan,Tell the person to get involved in chamas which can help them.,No,"Other non-agricultural machines, tools or appliances for your home or business ",,,,"Other non-agricultural machines, tools or appliances for your home or business ",,Loan from relatives,Loan from friends,,,,,,,Yes,3000,10,2,Traditional vegetables,Watching football games,Cement,"Organic fuels (Wood, Straw, Shrubs, Plants, Grass, Dung etc.)",0,0,3,Public tap,Uncovered pit latrine,Solar home system (not including solar lights),No,,No,Yes,No,,Yes,No,No,Yes,Yes,1000,1000,No,No,No,No,You ,Spouse,Savings account,Interest,Shares,Collateral,Guarantor,Investment,Inflation,Pension,Mortgage,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Credit Reference Bureau (CRB),Policy Conpensation Fund (PCF),,,,,Yes,No,,,SACCO,,,SACCO,ASCA/ROSCA/chama,SACCO,ASCA/ROSCA/chama,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Keeping in touch with friends and family,Watched television,7,Yes,7,1,0,1,1,1,54,,1,,,50-59,Secondary,1,0,185,0,0,1,0,0,0,1,0,1,0,0,0,5.75,0,0,1,1,0,0,0.38461539,0.375,0.96404356,1,0,0,1,0.32542241
